Registration Number,International Designator,Object Name,Country of Origin,Date of Launch,Function,Status,Registration Document,UN Registered,GSO Location,Date of Decay or Change,Secretariat Remarks,External Website,Launch Vehicle,Place of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),NORAD_CAT_ID,SATCAT_OBJECT_TYPE,SATCAT_OPS_STATUS,SATCAT_RCS,SATCAT_DECAY_DATE
FIN-2-SAT-2018,2018-004D,POC 1,Finland,2018-01-12,"Experimental satellite, carrying a synthetic aperture radar. Data will be provided
commercially.",decayed,/osoindex/data/documents/fi/st/stsgser.e839.html,T,,2024-02-07,Notification that ICEYE-X1 non-operational as at 12 June 2018 in ST/SG/SER.E/839/Add.1.,,,,158.0,145.0,97.27,87.52,43114,PAY,D,,2024-02-07
43113U 18004C,2018-004C,"LEO VANTAGE 1, TELESAT PHASE-1 LEO",Canada,2018-01-12,Communications,in orbit,/osoindex/data/documents/ca/st/stsgser.e996.html,T,,,------,https://www.telesat.com/,,,922.0,423.0,99.25,98.19,43113,PAY,P,,
2017-082A,2017-082A,,Japan,2017-12-23,"GCOM-C is carrying the Second Generation Global Imager (SGLI), a multi-band optical imaging radiometer with 19 spectral channels. SGLI can measure light intensity from near ultraviolet to thermal infrared (380 nm to 12 μm) radiation emitted from the Earth. Using SGLI to conduct global and long-term observations of clouds, aerosols, ocean colour, vegetation, snow and ice, and other components can help elucidate the mechanism behind fluctuations in the radiation budget and carbon cycle, which is needed to make accurate projections regarding future temperature increases.",in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,802.0,800.0,98.65,100.89,43065,PAY,+,,
2017-082B,2017-082B,,Japan,2017-12-23,"SLATS will demonstrate the technology for orbit control at super low altitudes using ion engine technology developed by JAXA. technical data related to the atmosphere  acquired by SLATS will also be used for the design of future satellites. Furthermore, SLATS will photograph the Earth and its technology will be evaluated for future Earth observation satellites.",deorbited,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,2019-10-01,------,,,,142.0,129.0,98.14,87.2,43066,PAY,D,,2019-10-01
3486-2017-016,2017-081A,,Russian Federation,2017-12-17,"Delivery to the International Space Station of the crew of Expeditions 54 and 55, consisting of Anton Nikolaevich Shkaplerov (Russian Federation), commander of the manned transport vehicle, and flight engineers Scott Tingle (United States of America) and Norishige Kanai (Japan).",recovered,/osoindex/data/documents/ru/st/stsgser.e834.html,T,,2018-06-03,------,,,,407.0,402.0,51.64,92.66,43063,PAY,D,,2018-06-03
001T-2017-DZ,2017-078A,,Algeria  ,2017-12-10,Satellite telecommunications on Ku band and Ka band and geolocation on L band ,in GSO,/osoindex/data/documents/dz/st/stsgser.e841.html,T,-024.8 degrees East,,------,,,,35801.59,35772.21,0.04,1436.11,43039,PAY,+,,
3485-2017-015,2017-076A,,Russian Federation,2017-12-02,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e834.html,T,,,------,,,,910.0,895.0,67.15,103.05,43032,PAY,+,,
2018-MA-SC-001,2017-070A,,Morocco,2017-11-08,Earth observation,in orbit,/osoindex/data/documents/ma/st/stsgser.e1036.html,T,,,------,,,,639.0,638.0,97.96,97.49,43005,PAY,+,,
3484-2017-014,2017-037E,,Russian Federation,2017-10-30,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,,Date of launch is date of deployment from Cosmos 2521.,,,,632.0,535.0,97.51,96.35,42986,PAY,+,,
3483-2017-013,2017-065A,,Russian Federation,2017-10-14,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other expendable materials required for the crew, scientific experiments and operation of the Station",deorbited,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,2018-04-26,------,,,,435.0,383.0,51.64,92.75,42971,PAY,D,,2018-04-26
3482-2017-012,2017-055A,(GLONASS),Russian Federation,2017-09-22,Work on the Global Navigation Satellite System (GLONASS),in orbit,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,,------,,,,19146.0,19113.0,64.08,675.73,42939,PAY,+,,
3481-2017-011,2017-054A,,Russian Federation,2017-09-13,"Delivery to the International Space Station of the crew of Expeditions 53 and 54, consisting of Aleksandr Aleksandrovich Misurkin (Russian Federation), commander of the manned transport vehicle, and flight engineers Mark Vande Hei and Joseph Acaba (both of the United States of America).",recovered,/osoindex/data/documents/ru/st/stsgser.e826.html,T,,2018-02-28,Date of launch is 2017-09-12 using UTC.,,,,407.0,402.0,51.64,92.65,42937,PAY,D,,2018-02-28
3480-2017-010,2017-037D,(SPUTNIK-INSPEKTOR),Russian Federation,2017-08-23,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-09-12,Date of launch is date of deployment from Cosmos 2519.,,,,139.0,126.0,97.82,87.14,42919,PAY,D,,2019-09-12
3479-2017-009,1998-067NC,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2018-11-29,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC.,,,,153.0,146.0,51.61,87.48,42913,PAY,D,,2018-11-29
3476-2017-009,1998-067NA,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-07-30,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC.,,,,156.0,134.0,51.6,87.39,42911,PAY,D,,2019-07-30
3475-2017-009,1998-067MZ,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-10-20,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC. ,,,,170.0,165.0,51.62,87.84,42910,PAY,D,,2019-10-20
3477-2017-009,1998-067NB,,Russian Federation,2017-08-18,Experimental nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-09-08,Date of launch is date of deployment from the ISS. Date of launch is 2017-08-17 using UTC.,,,,193.0,191.0,51.63,88.33,42912,PAY,D,,2019-09-08
3474-2017-008,2017-046A,,Russian Federation,2017-08-17,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in GSO,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,,Date of launch is 16 August 2017 using UTC. ,,,,35788.81,35784.77,0.04,1436.11,42907,PAY,+,,
3478-2017-009,1998-067ND,TNS 0-2,Russian Federation,2017-08-17,Technological nanosatellite,decayed,/osoindex/data/documents/ru/st/stsgser.e824.html,T,,2019-10-15,Date of launch is date of deployment from the ISS.,,,,163.0,155.0,51.62,87.68,42914,PAY,D,,2019-10-15
2017-044B,2017-044B,"(VENMS, VENUS)",Israel,2017-08-02,Earth observation scientific mission,in orbit,/osoindex/data/documents/il/a/aac.105inf431.html,T,,,------,,,,531.0,528.0,97.3,95.23,42901,PAY,-,,
3473-2017-007,2017-043A,,Russian Federation,2017-07-28,"Delivery to the International Space Station of the crew of Expeditions 52 and 53, consisting of Sergei Nikolaevich Ryazansky (Russian Federation), commander of the manned transport vehicle, and flight engineers Randolph Bresnik (United States of America) and Paolo Nespoli (Italy)",recovered,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,2017-12-14,------,,,,407.0,403.0,51.64,92.66,42898,PAY,D,,2017-12-14
3471-2017-006,2017-042*,,Russian Federation,2017-07-14,Scientific and educational applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,,,,,,
3472-2017-006,2017-042*,,Russian Federation,2017-07-14,Scientific and educational applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,,,,,,
3468-2017-006,2017-042*,,Russian Federation,2017-07-14,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,,,,,,
3469-2017-006,2017-042*,,Russian Federation,2017-07-14,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,International Designator pending assignment.,,,,,,,,,,,,
3467-2017-006,2017-042A,,Russian Federation,2017-07-14,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,,------,,,,496.0,494.0,97.37,94.52,42825,PAY,+,,
2017-042L,2017-042L,,Japan,2017-07-14,"Monitoring of sea ice at the Arctic Sea and other areas, volcanic ash and typhoons. ",in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,575.0,556.0,97.42,95.98,42835,PAY,+,,
42828,2017-042D,,Norway,2017-07-14,"Satellite for maritime surveillance by the Automatic Identification System (AIS).
Auxiliary technology demonstration payload for very-high frequency data exchange.
",in orbit,/osoindex/data/documents/no/st/stsgser.e830.html,T,,,Change in perigee parameters provided by Norway in ST/SG/SER.E/881.,,,,522.0,507.0,97.39,94.91,42828,PAY,+,,
42826,2017-042B,,Norway,2017-07-14,"Satellite for maritime surveillance by the Automatic Identification System (AIS).
Scientific auxiliary payloads for sun irradiation and plasma monitoring.
",in orbit,/osoindex/data/documents/no/st/stsgser.e830.html,T,,,Change in perigee parameters provided by Norway in ST/SG/SER.E/881.,,,,538.0,527.0,97.43,95.29,42826,PAY,+,,
3470-2017-006,2017-042F,,Russian Federation,2017-07-14,Scientific and educational applications,decayed,/osoindex/data/documents/ru/st/stsgser.e816.html,T,,2025-01-16,International Designator provided by the State of Registry.,,,,170.0,161.0,97.31,87.79,42830,PAY,D,,2025-01-15
1998-067MU,1998-067MU,BIRDS,Japan,2017-07-07,"Earth observation, outreach by sound signal transmission, and single event detection.",decayed,/osoindex/data/documents/jp/st/stsgser.e862.html,T,,2019-05-03,Deployed from the International Space Station. Date of launch is date of deployment from the ISS.,http://birds1.birds-project.com/,,,150.0,143.0,51.61,87.41,42820,PAY,D,,2019-05-03
1002,2017-040A,INMARSAT S EAN,Greece,2017-06-28,"Telecommunication geostationary satellite that operates in Ku-band, Ka-band and S-band",in GSO,/osoindex/data/documents/gr/st/stsgser.e1044.html,T,+039 degrees East,,------,http://www.hellas-sat.net,,,35797.28,35776.79,0.04,1436.12,42814,PAY,+,,
FIN-1-SAT-2017,2017-036L,,Finland,2017-06-23,"Aalto-1 is an educational satellite project with mission goal in technology
demonstration of three payloads; demonstration of miniature hyperspectral Earth
Observation camera; demonstration of miniature radiation monitoring instrument;
demonstration of electrostatic deorbiting device.",in orbit,/osoindex/data/documents/fi/st/stsgser.e839.html,T,,,------,,,,154.0,140.0,97.07,87.43,42775,PAY,D,,2024-09-01
SUCHAI/1,2017-036Z,,Chile,2017-06-23,Educational and scientific study of the atmosphere,decayed,/osoindex/data/documents/cl/st/stsgser.e832.html,T,,2023-10-11,------,,,,149.0,134.0,97.1,87.32,42788,PAY,D,,2023-10-11
0003,2017-036V,(QB50 AT03),Austria,2017-06-23,Part of the QB50 project to investigate the thermosphere. PEGASUS is equipped with a Langmuir probe to measure electron density and temperature.,decayed,/osoindex/data/documents/at/st/stsgser.e817.html,T,,2024-01-08,State of registry notes that the space object burned up in the Earth’s atmosphere on the morning of 8 January 2024 UTC in ST/SG/SER.E/817/Add.1.,http://www.pegasus-fhwn.at/,,,156.0,144.0,97.08,87.49,42784,PAY,D,,2024-01-07
2017-B-SC-031,2017-036M,"(URSAMAIOR, QB50 IT02)",Belgium,2017-06-23,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,decayed,/osoindex/data/documents/be/st/stsgser.e809.html,T,,2024-07-01,------,,,,185.0,170.0,97.08,88.04,42776,PAY,D,,2024-07-01
2017-B-SC-028,2017-036N,"(COMPASS 2, QB50 DE04)",Belgium,2017-06-23,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,decayed,/osoindex/data/documents/be/st/stsgser.e809.html,T,,2023-06-24,Notification of dragsail deployment failure and estimated orbital lifetime of 5.43 years by Belgium in ST/SG/SER.E/809/Add.1.,,,,159.0,140.0,97.11,87.48,42777,PAY,D,,2023-06-24
2017-B-SC-032,2017-036D,(QB50 LT01),Belgium,2017-06-23,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,decayed,/osoindex/data/documents/be/st/stsgser.e809.html,T,,2023-04-04,------,,,,155.0,142.0,97.14,87.46,42768,PAY,D,,2023-04-01
