Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
FIN-24-SAT-2023,,,,2023-06-12,,,,,Earth observation satellite carrying a synthetic aperture radar. Data will be provided commercially.,Finland
FIN-23-SAT-2023,,,,2023-06-12,,,,,Earth observation satellite carrying a synthetic aperture radar. Data will be provided commercially.,Finland
2023-B-SC-037,,,,2023-06-12,,,,,Testing and demonstration of versatile satellite platform,Belgium
D-R103,,,,2023-06-12,,,,,"Demonstration and characterization of an E-band downlink (satellite ground station), solar cell characterization, and high-resolution Earth observation",Germany
3638-2023-008,,,,2023-05-27,,,,,Monitoring of emergency situations,Russian Federation
3637-2023-007,,,,2023-05-24,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments
and operation of the Station",Russian Federation
56720,ONEWEB 0684,,,2023-05-20,,,,,Communications satellite,United Kingdom
56719,ONEWEB 0683,,,2023-05-20,,,,,Communications satellite,United Kingdom
56721,ONEWEB 0686,,,2023-05-20,,,,,Communications satellite,United Kingdom
56712,ONEWEB 0676,,,2023-05-20,,,,,Communications satellite,United Kingdom
56713,ONEWEB 0677,,,2023-05-20,,,,,Communications satellite,United Kingdom
56714,ONEWEB 0678,,,2023-05-20,,,,,Communications satellite,United Kingdom
56716,ONEWEB 0680,,,2023-05-20,,,,,Communications satellite,United Kingdom
56717,ONEWEB 0681,,,2023-05-20,,,,,Communications satellite,United Kingdom
56718,ONEWEB 0682,,,2023-05-20,,,,,Communications satellite,United Kingdom
56710,ONEWEB 0561,,,2023-05-20,,,,,Communications satellite,United Kingdom
56724,ONEWEB 0703,,,2023-05-20,,,,,Communications satellite,United Kingdom
56722,ONEWEB 0694,,,2023-05-20,,,,,Communications satellite,United Kingdom
56711,ONEWEB 0668,,,2023-05-20,,,,,Communications satellite,United Kingdom
56723,ONEWEB 0696,,,2023-05-20,,,,,Communications satellite,United Kingdom
56725,ONEWEB 0721,,,2023-05-20,,,,,Communications satellite,United Kingdom
56715,ONEWEB 0679,,,2023-05-19,,,,,Communications satellite,United Kingdom
2023-DK-02,,,,2023-05-17,,,,,"DISCO-1 is a 1U student cubesat hosting a ultra-high frequency (UHF) radio and a Coral Dev Board Mini single-board computer with a Tensor Processing Unit (TPU) coprocessor. The aim of the satellite is technology demonstration. The students will test the use of machine learning on the single-board microcomputer and conduct various other experiments, including using a small camera as a cosmic ray detector. It is also planned that the UHF radio should be offered as a digipeater service to the radio amateur community.",Denmark
56367,,,,2023-04-28,,,,,"mPOWER will extend SES’s MEO Ka-band services increasing capabilities such as flexibility, performance and scale thus increasing the scope of bandwidth-intensive network services and applications. System wide innovations will provide uncontended multi-gigabit links to deliver high-bandwidth services, offering differentiated services at cloud scale.  ",United Kingdom
56368,,,,2023-04-28,,,,,"mPOWER will extend SES’s MEO Ka-band services increasing capabilities such as flexibility, performance and scale thus increasing the scope of bandwidth-intensive network services and applications. System wide innovations will provide uncontended multi-gigabit links to deliver high-bandwidth services, offering differentiated services at cloud scale.  ",United Kingdom
56312,,,,2023-04-24,,,,,Outreach/educational mission,Canada
56315,,,,2023-04-24,,,,,Educational mission,Canada
56313,,,,2023-04-24,,,,,Monitoring,Canada
56210,,,,2023-04-15,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration.,Türkiye
56209,,,,2023-04-15,,,,,Measurement of methane (CH4) emissions at targeted sites,Canada
56204,,,,2023-04-15,,,,,Measurement of methane (CH4) emissions at targeted sites,Canada
56186,,,,2023-04-15,,,,,Measurement of methane (CH4) emissions at targeted sites,Canada
56217,,,,2023-04-15,,,,,Data transfer and technology,Canada
56218,,,,2023-04-15,,,,,Data transfer and technology,Canada
2023-COL-01,,,,2023-04-15,,,,,------,Colombia
2023-054AA,(MARIA AGNESI),,,2023-04-15,,,,,Earth observation,Uruguay
2023-054AB,(JOAN CLARKE),,,2023-04-15,,,,,Earth observation,Uruguay
2023-054Z,(TIKVAH ALPER),,,2023-04-15,,,,,Earth observation,Uruguay
2023-054N,(ANNIE CANNON),,,2023-04-15,,,,,Earth observation,Uruguay
AE-23-02,,,,2023-04-15,,,,,Earth observation. DEWASAT-2 is 6U platform (CubeSat) with a mass of 11.2 kg. nanosatellite features a high-resolution camera (4.7 meters) that will be used for Earth observation missions. The high-resolution camera provides continuous line-scan imaging in seven spectral bands from an approximately 500-kilometre orbit. DEWASAT-2 is also equipped with infrared equipment to measure greenhouse gases in atmospheric level.,United Arab Emirates
3636-2023-006,,,,2023-03-29,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
56046,ONEWEB 0537,,,2023-03-26,,,,,Communications satellite,United Kingdom
56048,ONEWEB 0546,,,2023-03-26,,,,,Communications satellite,United Kingdom
56049,ONEWEB 0547,,,2023-03-26,,,,,Communications satellite,United Kingdom
56047,ONEWEB 0538,,,2023-03-26,,,,,Communications satellite,United Kingdom
56073,ONEWEB 0632,,,2023-03-26,,,,,Communications satellite,United Kingdom
56070,ONEWEB 0609,,,2023-03-26,,,,,Communications satellite,United Kingdom
56074,ONEWEB 0633,,,2023-03-26,,,,,Communications satellite,United Kingdom
56068,ONEWEB 0579,,,2023-03-26,,,,,Communications satellite,United Kingdom
56072,ONEWEB 0630,,,2023-03-26,,,,,Communications satellite,United Kingdom
56069,ONEWEB 0581,,,2023-03-26,,,,,Communications satellite,United Kingdom
56066,ONEWEB 0577,,,2023-03-26,,,,,Communications satellite,United Kingdom
56067,ONEWEB 0578,,,2023-03-26,,,,,Communications satellite,United Kingdom
56071,ONEWEB 0613,,,2023-03-26,,,,,Communications satellite,United Kingdom
56063,ONEWEB 0574,,,2023-03-26,,,,,Communications satellite,United Kingdom
56062,ONEWEB 0568,,,2023-03-26,,,,,Communications satellite,United Kingdom
56064,ONEWEB 0575,,,2023-03-26,,,,,Communications satellite,United Kingdom
56065,ONEWEB 0576,,,2023-03-26,,,,,Communications satellite,United Kingdom
56061,ONEWEB 0566,,,2023-03-26,,,,,Communications satellite,United Kingdom
56060,ONEWEB 0559,,,2023-03-26,,,,,Communications satellite,United Kingdom
56057,ONEWEB 0555,,,2023-03-26,,,,,Communications satellite,United Kingdom
56058,ONEWEB 0557,,,2023-03-26,,,,,Communications satellite,United Kingdom
56059,ONEWEB 0558,,,2023-03-26,,,,,Communications satellite,United Kingdom
56056,ONEWEB 0554,,,2023-03-26,,,,,Communications satellite,United Kingdom
56054,ONEWEB 0552,,,2023-03-26,,,,,Communications satellite,United Kingdom
56050,ONEWEB 0548,,,2023-03-26,,,,,Communications satellite,United Kingdom
56051,ONEWEB 0549,,,2023-03-26,,,,,Communications satellite,United Kingdom
56052,ONEWEB 0550,,,2023-03-26,,,,,Communications satellite,United Kingdom
56055,ONEWEB 0553,,,2023-03-26,,,,,Communications satellite,United Kingdom
56076,ONEWEB 0635,,,2023-03-26,,,,,Communications satellite,United Kingdom
56079,ONEWEB 0647,,,2023-03-26,,,,,Communications satellite,United Kingdom
56075,ONEWEB 0634,,,2023-03-26,,,,,Communications satellite,United Kingdom
56077,ONEWEB 0636,,,2023-03-26,,,,,Communications satellite,United Kingdom
56078,ONEWEB 0637,,,2023-03-26,,,,,Communications satellite,United Kingdom
56080,ONEWEB 0651,,,2023-03-26,,,,,Communications satellite,United Kingdom
56081,ONEWEB 0718,,,2023-03-26,,,,,Communications satellite,United Kingdom
3635-2023-005,,,,2023-03-23,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3634-2023-004,,,,2023-03-12,,,,,Relay of information,Russian Federation
55797,ONEWEB 0534,,,2023-03-09,,,,,Communications satellite,United Kingdom
55799,ONEWEB 0562,,,2023-03-09,,,,,Communications satellite,United Kingdom
55798,ONEWEB 0556,,,2023-03-09,,,,,Communications satellite,United Kingdom
55800,ONEWEB 0563,,,2023-03-09,,,,,Communications satellite,United Kingdom
55817,ONEWEB 0656,,,2023-03-09,,,,,Communications satellite,United Kingdom
55807,ONEWEB 0643,,,2023-03-09,,,,,Communications satellite,United Kingdom
55813,ONEWEB 0650,,,2023-03-09,,,,,Communications satellite,United Kingdom
55814,ONEWEB 0652,,,2023-03-09,,,,,Communications satellite,United Kingdom
55810,ONEWEB 0646,,,2023-03-09,,,,,Communications satellite,United Kingdom
55812,ONEWEB 0649,,,2023-03-09,,,,,Communications satellite,United Kingdom
55796,ONEWEB 0530,,,2023-03-09,,,,,Communications satellite,United Kingdom
55801,ONEWEB 0564,,,2023-03-09,,,,,Communications satellite,United Kingdom
55811,ONEWEB 0648,,,2023-03-09,,,,,Communications satellite,United Kingdom
55809,ONEWEB 0645,,,2023-03-09,,,,,Communications satellite,United Kingdom
55802,ONEWEB 0638,,,2023-03-09,,,,,Communications satellite,United Kingdom
55808,ONEWEB 0644,,,2023-03-09,,,,,Communications satellite,United Kingdom
55815,ONEWEB 0653,,,2023-03-09,,,,,Communications satellite,United Kingdom
55816,ONEWEB 0654,,,2023-03-09,,,,,Communications satellite,United Kingdom
55819,ONEWEB 0658,,,2023-03-09,,,,,Communications satellite,United Kingdom
55822,ONEWEB 0661,,,2023-03-09,,,,,Communications satellite,United Kingdom
55820,ONEWEB 0660,,,2023-03-09,,,,,Communications satellite,United Kingdom
55824,ONEWEB 0664,,,2023-03-09,,,,,Communications satellite,United Kingdom
55821,ONEWEB 0661,,,2023-03-09,,,,,Communications satellite,United Kingdom
55806,ONEWEB 0642,,,2023-03-09,,,,,Communications satellite,United Kingdom
55828,ONEWEB 0669,,,2023-03-09,,,,,Communications satellite,United Kingdom
55825,ONEWEB 0665,,,2023-03-09,,,,,Communications satellite,United Kingdom
55826,ONEWEB 0666,,,2023-03-09,,,,,Communications satellite,United Kingdom
55827,ONEWEB 0667,,,2023-03-09,,,,,Communications satellite,United Kingdom
55830,ONEWEB 0671,,,2023-03-09,,,,,Communications satellite,United Kingdom
55832,ONEWEB 0673,,,2023-03-09,,,,,Communications satellite,United Kingdom
55833,ONEWEB 0674,,,2023-03-09,,,,,Communications satellite,United Kingdom
55829,ONEWEB 0670,,,2023-03-09,,,,,Communications satellite,United Kingdom
55831,ONEWEB 0672,,,2023-03-09,,,,,Communications satellite,United Kingdom
55818,ONEWEB 0657,,,2023-03-09,,,,,Communications satellite,United Kingdom
55823,ONEWEB 0663,,,2023-03-09,,,,,Communications satellite,United Kingdom
55803,ONEWEB 0639,,,2023-03-09,,,,,Communications satellite,United Kingdom
55804,ONEWEB 0640,,,2023-03-09,,,,,Communications satellite,United Kingdom
55805,ONEWEB 0641,,,2023-03-09,,,,,Communications satellite,United Kingdom
55834,ONEWEB 0675,,,2023-03-09,,,,,Communications satellite,United Kingdom
55835,ONEWEB 0720,,,2023-03-09,,,,,Communications satellite,United Kingdom
3633-2023-003,,,,2023-02-24,,,,,Uncrewed mission of piloted transport vehicle,Russian Federation
3632-2023-002,,,,2023-02-09,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3631-2023-001,ELEKTRO L-4,,,2023-02-05,,,,,Hydrometeorological,Russian Federation
2023-012A,(IGS R-7),,,2023-01-26,,,,,Satellite conducting missions assigned by the Government of Japan,Japan
AE-23-01,,,,2023-01-18,,,,,"Science, Education. Study and collect bright and hard X-Ray sources for space weather research and low-resolution Earth observation.",United Arab Emirates
JZJ-03,,,,2023-01-15,,,,,------,China
JZJ-04,,,,2023-01-15,,,,,------,China
JZJ-06,,,,2023-01-15,,,,,------,China
55164,ONEWEB 0623,,,2023-01-10,,,,,Communications satellite,United Kingdom
55168,ONEWEB 0627,,,2023-01-10,,,,,Communications satellite,United Kingdom
55175,ONEWEB 0713,,,2023-01-10,,,,,Communications satellite,United Kingdom
55176,ONEWEB 0715,,,2023-01-10,,,,,Communications satellite,United Kingdom
55178,ONEWEB 0717,,,2023-01-10,,,,,Communications satellite,United Kingdom
55179,ONEWEB 0719,,,2023-01-10,,,,,Communications satellite,United Kingdom
55177,ONEWEB 0716,,,2023-01-10,,,,,Communications satellite,United Kingdom
55173,ONEWEB 0710,,,2023-01-10,,,,,Communications satellite,United Kingdom
55167,ONEWEB 0626,,,2023-01-10,,,,,Communications satellite,United Kingdom
55154,ONEWEB 0598,,,2023-01-10,,,,,Communications satellite,United Kingdom
55150,ONEWEB 0571,,,2023-01-10,,,,,Communications satellite,United Kingdom
55152,ONEWEB 0573,,,2023-01-10,,,,,Communications satellite,United Kingdom
55153,ONEWEB 0588,,,2023-01-10,,,,,Communications satellite,United Kingdom
55151,ONEWEB 0572,,,2023-01-10,,,,,Communications satellite,United Kingdom
55148,ONEWEB 0569,,,2023-01-10,,,,,Communications satellite,United Kingdom
55149,ONEWEB 0570,,,2023-01-10,,,,,Communications satellite,United Kingdom
55146,ONEWEB 0565,,,2023-01-10,,,,,Communications satellite,United Kingdom
55157,ONEWEB 0616,,,2023-01-10,,,,,Communications satellite,United Kingdom
55160,ONEWEB 0619,,,2023-01-10,,,,,Communications satellite,United Kingdom
55163,ONEWEB 0622,,,2023-01-10,,,,,Communications satellite,United Kingdom
55162,ONEWEB 0621,,,2023-01-10,,,,,Communications satellite,United Kingdom
55142,ONEWEB 0541,,,2023-01-10,,,,,Communications satellite,United Kingdom
55145,ONEWEB 0560,,,2023-01-10,,,,,Communications satellite,United Kingdom
55141,ONEWEB 0533,,,2023-01-10,,,,,Communications satellite,United Kingdom
55144,ONEWEB 0544,,,2023-01-10,,,,,Communications satellite,United Kingdom
55143,ONEWEB 0543,,,2023-01-10,,,,,Communications satellite,United Kingdom
