Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
3441-2015-016,,,,2015-12-05,,,,,"Intended for assignments on behalf of
the Ministry of Defence of the
    Russian Federation",Russian Federation
3442-2015-016,,,,2015-12-05,,,,,"Intended for assignments on behalf of
the Ministry of Defence of the
    Russian Federation",Russian Federation
LAOSAT 1,,,,2015-11-20,,,,,Communications satellite,Lao People's Democratic Republic
3440-2015-015,,,,2015-11-17,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation ,Russian Federation
15065/41028,,,,2015-11-11,,,,,Communication satellite,India
2015-DK-01,AAUSAT 5,,,2015-10-05,,,,,"Student satellite demonstrator. At the request from the European Space Agency (ESA), AAUSAT5 is a modernized replica of AAUSAT3. At the invitation of ESA, the launch was made as part of the ISS mission that also featured the first space mission by a Danish astronaut, Andreas Mogensen.",Denmark
3439-2015-014,,,,2015-10-01,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food and other expendable materials required for manned operation of the Station",Russian Federation
RA 9,,,,2015-09-30,,,,,Geostationary telecommunication satellite,Argentina
NBNCo-1A,,,,2015-09-30,,,,,"Broadband telecommunications within Australia, and nearby islands under Australian jurisdiction.",Australia
3437-2015-013,,,,2015-09-24,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3438-2015-013,,,,2015-09-24,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3436-2015-013,,,,2015-09-24,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
1998-067GY,,,,2015-09-17,,,,,Observe meteors from space,Japan
3435-2015-012,EXPRESS AM-8,,,2015-09-14,,,,,Telecommunications,Russian Federation
3434-2015-011,,,,2015-09-02,,,,,"Delivery to the International Space Station of the crew of Expeditions 45 and 46, consisting of Sergey Volkov (Russian Federation), commander, and flight engineers Andreas Mogensen (ESA) and Aidyn Aimbetov (Kazakhstan)",Russian Federation
2015-038A,,,,2015-08-19,,,,,"HTV5 is an unmanned re-supply vehicle used to transport various types of cargo, including research materials, replacement equipment and daily commodities to the International Space Station",Japan
3433-2015-010,,,,2015-07-23,,,,,"Delivery to the International Space Station of the crew of Expeditions 44 and 45, consisting of Oleg Kononenko (Russian Federation), commander, and Kimiya Yui (Japan) and Kjell Lindgren (United States of America), flight engineers",Russian Federation
40718,,,,2015-07-10,,,,,Technology demonstrator,United Kingdom
40716,,,,2015-07-10,,,,,High resolution Earth observation satellite,United Kingdom
40715,,,,2015-07-10,,,,,High resolution Earth observation satellite,United Kingdom
40717,,,,2015-07-10,,,,,High resolution Earth observation satellite,United Kingdom
40719,,,,2015-07-10,,,,,"The DeorbitSail project is a collaboration to build a 3U CubeSat-sized satellite with a deployable sail that will demonstrate rapid deorbiting. The deorbiting capability of the DeorbitSail satellite is due to increased aerodynamic drag from the large surface area of the deployed sail in a low-Earth orbit. Under our proposed concept, the satellite will return to the Earth and burn up in the atmosphere over time as its altitude reduces. The project is funded by the Seventh Framework Programme for Research and Technological Development of the European Commission, known as FP7.",United Kingdom
3432-2015-009,,,,2015-07-03,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food and other expendable materials required for manned operation of the Station",Russian Federation
3431-2015-008,,,,2015-06-23,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3430-2015-007,,,,2015-06-05,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3429-2015-006,,,,2015-04-28,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food and other expendable materials required for manned operation of the Station. Placed into an unplanned orbit",Russian Federation
